jour,indice_nu,indice_vt_20j,exposition_20j_pct,indice_vt_60j,exposition_60j_pct
162,100.000000,82.261048,150.000000,81.779232,150.000000
163,100.000000,82.256968,150.000000,81.775175,150.000000
164,100.000000,82.252887,150.000000,81.771118,150.000000
165,100.000000,82.248807,150.000000,81.767062,150.000000
166,100.000000,82.244727,150.000000,81.763006,150.000000
167,100.000000,82.240647,150.000000,81.758950,150.000000
168,100.000000,82.236568,150.000000,81.754894,150.000000
169,100.000000,82.232488,150.000000,81.750839,150.000000
170,100.000000,82.228409,150.000000,81.746783,150.000000
171,100.000000,82.224330,150.000000,81.742728,150.000000
172,100.000000,82.220251,150.000000,81.738673,150.000000
173,100.000000,82.216173,150.000000,81.734619,150.000000
174,100.000000,82.212094,150.000000,81.730564,150.000000
175,100.000000,82.208016,150.000000,81.726510,150.000000
176,100.000000,82.203938,150.000000,81.722456,150.000000
177,100.000000,82.199860,150.000000,81.718402,150.000000
178,100.000000,82.195783,150.000000,81.714348,150.000000
179,100.000000,82.191705,150.000000,81.710295,150.000000
180,100.000000,82.187628,150.000000,81.706242,150.000000
181,100.000000,82.183551,150.000000,81.702188,150.000000
182,100.000000,82.179474,150.000000,81.698136,150.000000
183,100.000000,82.175398,150.000000,81.694083,150.000000
184,100.000000,82.171322,150.000000,81.690030,150.000000
185,100.000000,82.167245,150.000000,81.685978,150.000000
