freq_rebal_jours,pnl
1,-0.9516524029339166
1,-0.49387097085622145
1,-1.2507146448934208
1,10.526592803246743
1,23.810440118035068
1,-11.934162087826536
1,-1.6552093442824969
1,-0.6178008693605506
1,-2.7606839934965848
1,7.863565927898335
1,-4.822902841967846
1,-4.714850933790302
1,-8.355668557732528
1,-0.5938647476311303
1,-2.536440167116268
1,-2.9494633156068915
1,0.07008148314208995
1,-0.5535443405966873
1,5.829314530224551
1,-0.3848507397176064
1,-8.878095428987834
1,-2.5599856457181147
1,-2.429068586627878
1,10.43900040675041
1,15.802180896081126
1,-0.11010440036918112
1,-1.3403563430148608
1,-5.876556906532514
1,-0.3016250920536976
1,-8.125717210322307
1,-8.93268916627359
1,-1.2034088274317298
1,-6.578881994799943
1,-9.242451384496903
1,-1.2098644880008464
1,-1.6328176697600725
1,-2.3983314986312507
1,15.821793385221639
1,22.274450679956843
1,10.622002537179739
1,-0.4813159782932672
1,-0.6106283485748492
1,17.1869650486
1,-0.13287169565280976
1,-3.143345376919058
1,-1.88921045724841
1,18.12202830477038
1,0.11748063745960735
1,39.49046165086929
1,-0.6157166324763779
1,-17.564881055687152
1,-3.7043746818977894
1,11.2558602705965
1,-0.7004947238915236
1,-0.29217848655146383
1,-0.43065776553996216
1,-1.729196850582781
1,-0.5881236193833814
1,-1.7136465853274814
1,-0.30818221685061076
1,12.95520230683843
1,-0.1552259363182742
1,-0.9772486844015589
1,-0.41870886660467477
1,-0.8370953733872994
1,-5.755413470282747
1,-3.2680355221043556
1,-0.6738213965504656
1,-0.7254185520716021
1,-0.04262142977219696
1,-4.6695212248405795
1,-0.2153551648174954
1,-3.842427317559576
1,-3.087693663432404
1,-3.4134213933904647
1,-0.45922954982030717
1,-1.1987086115937586
1,-2.7526083155339762
1,-0.7400048922192184
1,-1.0072976387028518
1,-1.9894484280080746
1,-1.3562914972791589
1,-0.19968403684492841
1,-0.4802076389469363
1,-11.318479037549679
1,-0.9726662938383868
1,-10.101102702117998
1,23.64043368058752
1,-0.2399662456911642
1,-3.091394324546158
1,-11.758850888175118
1,-4.798294115894819
1,-0.5974773010917289
1,-16.75305981384473
1,-5.027805566838097
1,-5.020114085164522
1,-0.06672599959263437
1,-0.210736926336196
1,-3.2850097193213657
1,17.201158007155314
1,-0.769912175932447
1,-8.32363824393633
1,-0.6478679752556928
1,-1.5738308549700974
1,-9.47339868387806
1,0.060496767339699886
1,-1.5240507684769113
1,20.586256784282583
1,20.41084060922202
1,0.17472959454710235
1,-0.5882768312287396
1,-1.4780530072598452
1,-12.428508066221795
1,18.676530050820276
1,13.319359944692422
1,-1.02217175178032
1,-0.7643360896122857
1,-15.581057727765682
1,-4.122939807177062
1,-0.19872230650878464
1,-0.261230032667612
1,-3.339308282281948
1,-0.41447792572819253
1,-2.978133393079773
1,-6.268973009679314
1,-2.4354455245723017
1,13.22017234785637
1,-0.2512436340862081
1,-14.448191922390208
1,-1.5429898744228723
1,-0.5363111921118247
1,9.065387239734306
1,6.9413506862427425
1,-9.71820199195669
1,-1.7369822377110609
1,-9.188802610407294
1,-0.14426801675116963
