annee,indice_sous_jacent,indice_vt,exposition_pct
0.000000,100.000000,100.000000,100.000000
0.003968,100.059307,100.059307,100.000000
0.007937,100.008212,100.008212,100.000000
0.011905,99.549721,99.549721,100.000000
0.015873,98.338906,98.338906,100.000000
0.019841,99.013319,99.013319,100.000000
0.023810,98.739591,98.739591,100.000000
0.027778,98.627084,98.627084,100.000000
0.031746,98.131167,98.131167,100.000000
0.035714,97.803683,97.803683,100.000000
0.039683,97.222167,97.222167,100.000000
0.043651,97.177879,97.177879,100.000000
0.047619,97.234937,97.234937,100.000000
0.051587,97.089389,97.089389,100.000000
0.055556,97.416331,97.416331,100.000000
0.059524,96.627297,96.627297,100.000000
0.063492,97.122963,97.122963,100.000000
0.067460,96.571275,96.571275,100.000000
0.071429,96.341115,96.341115,100.000000
0.075397,95.846376,95.846376,100.000000
0.079365,95.555267,95.555267,150.000000
0.083333,95.305981,95.176598,150.000000
0.087302,95.552302,95.540856,150.000000
0.091270,96.872697,97.516473,150.000000
0.095238,96.309519,96.661254,150.000000
0.099206,96.019902,96.220447,150.000000
0.103175,92.069036,90.276998,91.654043
0.107143,91.841867,90.073588,91.758397
0.111111,92.131236,90.334732,90.872268
0.115079,94.460783,92.411184,77.764543
0.119048,97.264992,94.546587,67.840906
0.123016,99.878980,96.273394,62.437822
0.126984,100.301113,96.531038,62.388876
0.130952,101.268449,97.115466,62.039165
0.134921,100.369799,96.584472,61.263297
0.138889,105.190139,99.429910,51.734489
0.142857,104.494197,99.094345,51.288221
0.146825,101.844948,97.810596,48.532280
0.150794,101.541749,97.674270,48.510922
0.154762,106.078268,99.796148,44.116566
0.158730,107.444932,100.368900,44.163785
0.162698,110.732866,101.730906,43.030984
0.166667,113.475892,102.821051,42.478740
0.170635,114.215236,103.111494,42.534186
0.174603,110.425417,101.662115,39.446462
0.178571,114.139203,103.016922,38.527361
0.182540,112.565394,102.475943,42.640510
0.186508,110.096712,101.523468,40.796978
0.190476,107.075996,100.393034,38.457958
